# Database,Tag,Query,Min,Max,Average
SF-1,default,01,0.0775029659271,0.161145925522,0.100469446182
SF-1,default,02,0.04305768013,0.0589389801025,0.049069404602
SF-1,default,03,0.0703704357147,0.100840091705,0.0810914993286
SF-1,default,04,0.0515339374542,0.066308259964,0.056297826767
SF-1,default,05,0.081395149231,0.103365182877,0.0915316104888
SF-1,default,06,0.0353095531464,0.0451486110687,0.0387480735778
SF-1,default,07,0.0857214927673,0.116877317429,0.0955377101898
SF-1,default,08,0.11364030838,0.129620790482,0.122449874878
SF-1,default,09,0.093230009079,0.146473407745,0.112393522262
SF-1,default,10,0.0687699317932,0.0842900276184,0.0771301746368
SF-1,default,11,0.0614426136017,0.0770390033722,0.0678849697114
SF-1,default,12,0.0617909431458,0.0855283737183,0.0728254318238
SF-1,default,13,0.161852836609,0.187247514725,0.170955610275
SF-1,default,14,0.0467827320099,0.0952160358429,0.0609477996828
SF-1,default,15,0.073145866394,0.0963952541351,0.0827651977538
SF-1,default,16,0.13823723793,0.158931732178,0.147052145004
SF-1,default,17,0.0637140274048,0.0715825557709,0.0683329105378
SF-1,default,18,0.0893182754517,0.138545513153,0.113774347305
SF-1,default,19,0.0761125087738,0.108338594437,0.0903544902804
SF-1,default,20,0.0562677383423,0.096043586731,0.0684872627258
SF-1,default,21,0.685037851334,1.09275269508,0.823785638808
SF-1,default,22,0.0949890613556,0.118804454803,0.103981113434
