# Database,Tag,Query,Min,Max,Average
SF-8,default,01,0.268988370895,0.464018821716,0.314501333236
SF-8,default,02,0.146995782852,0.179077386856,0.163011837006
SF-8,default,03,0.170953273773,0.29373383522,0.208780908584
SF-8,default,04,0.114804267883,0.144887447357,0.131399869919
SF-8,default,05,0.18372631073,0.229084014893,0.204065084458
SF-8,default,06,0.0585095882416,0.131543636322,0.0747814655306
SF-8,default,07,0.130302190781,0.142869472504,0.134797668457
SF-8,default,08,0.322063446045,0.387078046799,0.354262161254
SF-8,default,09,0.238086462021,0.326954603195,0.258395147324
SF-8,default,10,0.161730289459,0.189744472504,0.174897527695
SF-8,default,11,0.0781698226929,0.133039712906,0.0954049110412
SF-8,default,12,0.101429462433,0.159652471542,0.124688529968
SF-8,default,13,0.676931619644,0.727823495865,0.699729871748
SF-8,default,14,0.0709230899811,0.174504756927,0.093705511093
SF-8,default,15,0.125008106232,0.146192789078,0.139453744888
SF-8,default,16,0.308025598526,0.417624235153,0.371633005142
SF-8,default,17,0.117823839188,0.161323547363,0.132171154022
SF-8,default,18,0.343768835068,0.406797409058,0.36250910759
SF-8,default,19,0.0881190299988,0.0967266559601,0.0934170722962
SF-8,default,20,0.115491867065,0.227004528046,0.147381448746
SF-8,default,21,0.874105930328,1.0762629509,0.938429164886
SF-8,default,22,0.317497014999,0.432102680206,0.389923620226
