# Database,Tag,Query,Min,Max,Average
SF-2,default,01,0.108029127121,0.230830192566,0.139432573319
SF-2,default,02,0.0644326210022,0.0764858722687,0.0705870151522
SF-2,default,03,0.0883467197418,0.126840591431,0.0983953952792
SF-2,default,04,0.0622017383575,0.0830376148224,0.0705428600312
SF-2,default,05,0.0947484970093,0.124220371246,0.111764001846
SF-2,default,06,0.0378878116608,0.085108757019,0.0495657444
SF-2,default,07,0.0906591415405,0.121986865997,0.0986299037932
SF-2,default,08,0.134937524796,0.170875549316,0.151366758347
SF-2,default,09,0.114641427994,0.143672466278,0.127195644379
SF-2,default,10,0.0704216957092,0.098349571228,0.0856272220612
SF-2,default,11,0.0730702877045,0.0961542129517,0.0854055404664
SF-2,default,12,0.0565385818481,0.0862448215485,0.067584657669
SF-2,default,13,0.186163663864,0.241973638535,0.218983316422
SF-2,default,14,0.0463788509369,0.0663936138153,0.0531015872954
SF-2,default,15,0.0830268859863,0.0882046222687,0.085313653946
SF-2,default,16,0.182136535645,0.210891246796,0.193911027908
SF-2,default,17,0.0812301635742,0.10528588295,0.090544939041
SF-2,default,18,0.146202087402,0.204195261002,0.169869184494
SF-2,default,19,0.0778353214264,0.109549045563,0.0870886325836
SF-2,default,20,0.0701148509979,0.0926468372345,0.0799735546112
SF-2,default,21,0.756759405136,1.12158894539,0.968103694916
SF-2,default,22,0.111943483353,0.16268658638,0.142975902557
