# Database,Tag,Query,Min,Max,Average
SF-16,default,01,0.504618883133,0.832948684692,0.589017295836
SF-16,default,02,0.142222881317,0.181666374207,0.163079500198
SF-16,default,03,0.316536903381,0.599039554596,0.387452983854
SF-16,default,04,0.215963363647,0.316894054413,0.241884565354
SF-16,default,05,0.343863010406,0.455499410629,0.386622524262
SF-16,default,06,0.094388961792,0.332939386368,0.143920278549
SF-16,default,07,0.234270811081,0.247718811035,0.241091060638
SF-16,default,08,0.65337061882,0.762699365616,0.701590681078
SF-16,default,09,0.37561750412,0.623408794403,0.44398059845
SF-16,default,10,0.245431900024,0.356428861618,0.2794151783
SF-16,default,11,0.0643723011017,0.0951704978943,0.0728160858156
SF-16,default,12,0.1475918293,0.297896623611,0.184144020081
SF-16,default,13,1.78550314903,1.93505549431,1.84693775177
SF-16,default,14,0.116596698761,0.420257806778,0.179394483566
SF-16,default,15,0.223280906677,0.284387350082,0.249232673644
SF-16,default,16,0.507062673569,0.65952205658,0.55820655823
SF-16,default,17,0.185734272003,0.263857841492,0.208870124818
SF-16,default,18,0.631194829941,0.741103172302,0.667092466354
SF-16,default,19,0.106396198273,0.148733377457,0.1172976017
SF-16,default,20,0.200181722641,0.333651065826,0.240028572082
SF-16,default,21,1.0152528286,1.49930119514,1.17121214867
SF-16,default,22,0.5353474617,0.682405948639,0.602538442612
