# Database,Tag,Query,Min,Max,Average
SF-1,default,07,0.015267610549926758,0.015267610549926758,0.015267610549926758
SF-1,default,08,0.015741586685180664,0.015741586685180664,0.015741586685180664
SF-1,default,09,0.023018360137939453,0.023018360137939453,0.023018360137939453
SF-1,default,10,0.018222332000732422,0.018222332000732422,0.018222332000732422
SF-1,default,11,0.01823711395263672,0.01823711395263672,0.01823711395263672
SF-1,default,12,0.012556314468383789,0.012556314468383789,0.012556314468383789
SF-1,default,13,0.011162996292114258,0.011162996292114258,0.011162996292114258
SF-1,default,14,0.01431727409362793,0.01431727409362793,0.01431727409362793
SF-1,default,15,0.019492387771606445,0.019492387771606445,0.019492387771606445
SF-1,default,16,0.019598007202148438,0.019598007202148438,0.019598007202148438
SF-1,default,17,0.014400243759155273,0.014400243759155273,0.014400243759155273
SF-1,default,18,0.017922401428222656,0.017922401428222656,0.017922401428222656
SF-1,default,19,0.01992654800415039,0.01992654800415039,0.01992654800415039
SF-1,default,20,0.014024734497070312,0.014024734497070312,0.014024734497070312
SF-1,default,21,0.012848615646362305,0.012848615646362305,0.012848615646362305
SF-1,default,22,0.01724720001220703,0.01724720001220703,0.01724720001220703
# Database,Tag,Query,Min,Max,Average
SF-1,default,01,0.013488292694091797,0.013488292694091797,0.013488292694091797
SF-1,default,02,0.019121885299682617,0.019121885299682617,0.019121885299682617
SF-1,default,03,0.018866300582885742,0.018866300582885742,0.018866300582885742
SF-1,default,04,0.012923717498779297,0.012923717498779297,0.012923717498779297
SF-1,default,05,0.01322317123413086,0.01322317123413086,0.01322317123413086
SF-1,default,06,0.011748552322387695,0.011748552322387695,0.011748552322387695
SF-1,default,07,0.017760038375854492,0.017760038375854492,0.017760038375854492
SF-1,default,08,0.016234874725341797,0.016234874725341797,0.016234874725341797
SF-1,default,09,0.016354799270629883,0.016354799270629883,0.016354799270629883
SF-1,default,10,0.01878809928894043,0.01878809928894043,0.01878809928894043
SF-1,default,11,0.013617753982543945,0.013617753982543945,0.013617753982543945
SF-1,default,12,0.012587308883666992,0.012587308883666992,0.012587308883666992
SF-1,default,13,0.016911745071411133,0.016911745071411133,0.016911745071411133
SF-1,default,14,0.5203180313110352,0.5203180313110352,0.5203180313110352
SF-1,default,15,0.013872623443603516,0.013872623443603516,0.013872623443603516
SF-1,default,16,0.01892542839050293,0.01892542839050293,0.01892542839050293
SF-1,default,17,0.012914419174194336,0.012914419174194336,0.012914419174194336
SF-1,default,18,0.013655662536621094,0.013655662536621094,0.013655662536621094
SF-1,default,19,0.011510848999023438,0.011510848999023438,0.011510848999023438
SF-1,default,20,0.012700796127319336,0.012700796127319336,0.012700796127319336
SF-1,default,21,0.015357732772827148,0.015357732772827148,0.015357732772827148
SF-1,default,22,0.02031230926513672,0.02031230926513672,0.02031230926513672
